date,daily new cases,daily deaths,daily recovered cases,daily tests performed,total cases,total deaths,total recovered,total tests
9/3/2020,2,,,:,2,0,0,:
10/3/2020,1,,,:,3,0,0,:
11/3/2020,3,,,:,6,0,0,:
12/3/2020,0,,,:,6,0,0,:
13/3/2020,8,,,:,14,0,0,:
14/3/2020,12,,,:,26,0,0,:
15/3/2020,0,,,:,33,0,0,:
16/3/2020,7,,,:,46,0,0,:
17/3/2020,13,,,:,49,0,0,:
18/3/2020,3,,,:,58,0,0,:
19/3/2020,18,,,:,67,0,0,:
20/3/2020,8,,,:,75,0,0,:
21/3/2020,9,1,3,:,84,1,3,:
22/3/2020,11,,,:,95,1,3,:
23/3/2020,21,,,:,116,1,3,:
24/3/2020,8,1,,:,124,2,3,:
25/3/2020,8,,,:,132,2,3,:
26/3/2020,14,,,:,146,2,3,:
27/3/2020,16,2,1,:,162,4,4,:
28/3/2020,17,,14,:,179,4,18,5917
29/3/2020,35,,,530,214,4,18,6447
30/3/2020,16,2,7,400,230,6,25,6847
31/3/2020,32,,1,550,262,6,26,7397
1/4/2020,58,1,4,779,320,7,30,8176
2/4/2020,36,1,,603,356,8,30,8779
3/4/2020,40,1,,668,396,9,30,9447
4/4/2020,30,,6,698,426,9,36,10145
5/4/2020,20,,4,792,446,9,37,10937
6/4/2020,19,,8,718,465,9,45,11655
7/4/2020,29,,2,1353,494,9,47,13008
8/4/2020,32,,5,1256,526,9,52,14264
9/4/2020,38,1,1,1216,564,10,53,15480
10/4/2020,31,,5,819,595,10,58,16299
11/4/2020,21,,3,811,616,10,61,17110
12/4/2020,17,1,4,804,633,11,65,17914
13/4/2020,29,1,3,891,662,12,68,18805
14/4/2020,33,,2,1703,695,12,70,20508
15/4/2020,20,,2,2312,715,12,72,22820
16/4/2020,20,,5,2905,735,12,77,25725
17/4/2020,15,,,3241,750,12,77,28966
18/4/2020,11,,2,3209,761,12,79,32175
19/4/2020,6,,2,1803,767,12,81,33978
20/4/2020,5,,2,1669,772,12,83,35647
21/4/2020,12,,1,1325,784,12,84,36972
22/4/2020,6,1,1,1441,790,13,85,38413
23/4/2020,5,,1,2322,795,13,86,40735
24/4/2020,9,1,1,2698,804,14,87,43433
25/4/2020,6,,2,2467,810,14,89,45900
26/4/2020,7,,,2415,817,14,89,48315
27/4/2020,5,1,,1796,822,15,89,50111
28/4/2020,15,,4,2999,837,15,93,53110
29/4/2020,6,,2,2436,843,15,95,55546
30/4/2020,7,,1,2454,850,15,96,58000
1/5/2020,7,,1,2427,857,15,97,60427
2/5/2020,7,,,1731,864,15,97,62158
3/5/2020,8,,1,1968,872,15,98,64126
4/5/2020,2,,2,1490,874,15,100,65616
5/5/2020,4,,1,1250,878,15,101,66866
6/5/2020,5,,1,2062,883,15,102,68928
7/5/2020,6,,4,1774,889,15,106,70702
8/5/2020,2,,,1957,891,15,106,72659
9/5/2020,1,,,1978,892,15,106,74637
10/5/2020,6,1,,1393,898,16,106,76030
11/5/2020,3,,,1046,901,16,106,77076
12/5/2020,2,,3,1153,903,16,109,78229
13/5/2020,2,1,3,1946,905,17,112,80175
14/5/2020,2,,,1659,907,17,112,81834
15/5/2020,3,,,1794,910,17,112,83628
16/5/2020,4,,1,1564,914,17,113,85192
17/5/2020,2,,,2248,916,17,113,87440
18/5/2020,1,,,1287,917,17,113,88727
19/5/2020,1,,1,1882,918,17,114,90609
20/5/2020,4,,,1984,922,17,114,92593
21/5/2020,1,,,2647,923,17,114,95240
22/5/2020,4,,,1970,927,17,114,97210
23/5/2020,0,,,2414,927,17,114,99624
24/5/2020,8,,,1953,935,17,114,101577
25/5/2020,2,,,2128,937,17,114,103705
26/5/2020,2,,,2214,939,17,114,105919
27/5/2020,0,,1,2640,939,17,115,108559
28/5/2020,2,,1,2602,941,17,116,111161
29/5/2020,1,,1,2363,942,17,117,113524
30/5/2020,1,,,2061,943,17,117,115585
31/5/2020,1,,,1717,944,17,117,117302
1/6/2020,5,,,1504,949,17,117,118806
2/6/2020,3,,,1473,952,17,117,120279
3/6/2020,6,,,2928,958,17,117,123207
4/6/2020,0,,,1996,958,17,117,125203
5/6/2020,2,,,1836,960,17,117,127039
6/6/2020,0,1,,2054,960,18,117,129093
7/6/2020,4,,,2364,964,18,117,131457
8/6/2020,6,,,799,970,18,117,132256
9/6/2020,2,,1,484,972,18,118,132740
10/6/2020,2,,,1369,974,18,118,134109
11/6/2020,1,,,2518,975,18,118,136627
12/6/2020,5,,,1289,980,18,118,137916
13/6/2020,0,,,1613,980,18,118,139529
14/6/2020,3,,,1252,983,18,118,140781
15/6/2020,2,,,622,985,18,118,141403
16/6/2020,0,,,912,985,18,118,142315
17/6/2020,0,,1,1210,985,18,119,143525
18/6/2020,0,1,2,1047,985,19,121,144572
19/6/2020,0,,,763,985,19,121,145335
20/6/2020,0,,1,808,985,19,122,146143
21/6/2020,1,,,620,986,19,122,146763
22/6/2020,2,,1,1039,988,19,123,147802
23/6/2020,2,,,1067,990,19,123,148869
24/6/2020,1,,,1405,991,19,123,150274
25/6/2020,1,,,1104,992,19,123,151378
26/6/2020,0,,,1059,992,19,123,152437
27/6/2020,2,,1,1336,994,19,124,153773
28/6/2020,0,,,1059,994,19,124,154832
29/6/2020,2,,1,1290,996,19,125,156122
30/6/2020,2,,,1320,998,19,125,157442
1/7/2020,1,,,1204,999,19,125,158646
2/7/2020,0,,,1019,999,19,125,159665
3/7/2020,0,,,1538,999,19,125,161203
4/7/2020,3,,,1699,1002,19,125,162902
5/7/2020,1,,,1445,1003,19,125,164347
6/7/2020,1,,,1259,1004,19,125,165606
7/7/2020,1,,,1191,1005,19,125,166797
8/7/2020,3,,,1691,1008,19,125,168488
9/7/2020,2,,,1159,1010,19,125,169647
10/7/2020,3,,,1247,1013,19,125,170894
11/7/2020,1,,,1748,1014,19,125,172642
12/7/2020,7,,,1179,1021,19,125,173821
13/7/2020,1,,,942,1022,19,125,174763
14/7/2020,1,,,1754,1023,19,125,176517
15/7/2020,2,,,1658,1025,19,125,178175
16/7/2020,6,,,1504,1031,19,125,179679
17/7/2020,2,,,1329,1033,19,125,181008
18/7/2020,4,,,1831,1037,19,125,182839
19/7/2020,1,,,1085,1038,19,125,183924
20/7/2020,0,,,1565,1038,19,125,185489
21/7/2020,2,,,1395,1040,19,125,186884
22/7/2020,0,,,2465,1040,19,125,189349
23/7/2020,5,,,1575,1045,19,125,190924
24/7/2020,2,,,1109,1047,19,125,192033
25/7/2020,6,,,1682,1053,19,125,193715
26/7/2020,4,,,902,1057,19,125,194617
27/7/2020,3,,,1855,1060,19,125,196472
28/7/2020,7,,,1974,1067,19,125,198446
29/7/2020,13,,,1725,1080,19,125,200171
30/7/2020,9,,,2069,1089,19,125,202240
